LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Ecuador,ECU,3.0,25.11,23.13,49.9,7.6,,,2.4,82.5,0.1,1.0,64.3,66.1,62.8,0.41,10.2,96.0,70.0,58.0,4.7,0.12,0.06,13.2,2.7,13.1,60.0,28.0,7.1,77,54,71.0,55.0,23.4,28 918,74.0,77.2,71.0,0.52,50.0,,,,,50.0
Egypt,EGY,1.87,17.94,6.71,37.1,0.6,31.14,6.1,,,0.2,0.2,60.4,61.1,59.7,4.26,24.7,97.0,96.0,9.2,4.8,<0.1,0.0,26.0,0.1,17.5,95.0,106.0,9.3,70,90,,17.0,9.4,2 978 436,69.1,71.7,66.7,0.24,,,69.4,87.5,,
El Salvador,SLV,1.57,21.79,16.16,50.2,7.6,4.06,1.38,2.1,73.1,0.0,0.8,62.2,65.5,58.7,1.59,8.9,98.0,96.0,84.0,6.1,0.13,0.0,12.6,3.4,10.4,71.0,40.0,4.4,78,91,99.0,39.0,21.5,1 475 552,71.7,76.2,66.8,2.62,36.0,,,,,
Equatorial Guinea,GNQ,,13.75,1.53,,7.0,,,,,6.1,0.6,53.3,53.5,52.9,0.08,,,74.0,274.0,29.7,No data,228.82,20.3,6.1,70.6,28.0,168.0,27.2,46,49,,174.0,11.7,1 046 007,61.6,63.2,60.2,0.42,,,,,,
Eritrea,ERI,0.2,15.43,0.88,,13.2,,,,,1.0,2.1,55.4,57.2,53.7,0.67,,,95.0,65.0,66.5,<0.1,63.39,27.3,1.3,35.4,85.0,238.0,16.4,45,60,95.0,291.0,17.7,807 518,63.6,66.2,60.9,5.62,78.0,,,,,
Estonia,EST,10.18,66.58,34.69,5.1,14.9,,,0.0,,0.3,1.4,66.7,69.2,64.1,7.13,28.3,99.0,90.0,8.2,2.6,<0.1,,15.5,10.5,2.1,84.0,13.0,1.0,79,73,,5.0,4.4,0,77.1,81.2,72.8,,52.0,,3.1,11.6,,
Eswatini,SWZ,0.28,42.6,5.57,,27.2,5.0,1.29,,74.1,0.8,3.0,47.5,49.3,45.8,0.34,9.5,93.0,85.0,350.0,46.5,4.2,1.73,32.3,7.2,45.0,82.0,173.0,24.5,56,43,66.0,118.0,24.7,250 978,54.6,57.9,51.6,7.0,59.0,,36.4,,,
Ethiopia,ETH,0.28,12.22,1.43,72.4,6.1,3.48,0.57,0.5,60.6,1.6,1.2,58.8,59.6,58.0,1.47,5.2,50.0,72.0,146.0,40.7,<0.1,109.24,16.8,3.1,46.5,53.0,146.0,27.4,35,69,69.0,195.0,17.7,63 060 994,67.8,69.7,66.0,3.98,29.0,,61.8,81.0,,
Fiji,FJI,1.17,38.52,8.13,31.0,8.3,,,0.0,51.3,0.1,0.2,57.7,58.7,56.7,1.03,27.6,100.0,99.0,66.0,10.8,0.4,,37.9,3.5,29.1,83.0,121.0,14.9,58,55,99.0,30.0,5.3,523 954,65.5,67.7,63.5,10.79,68.0,,,,,
Finland,FIN,9.68,140.13,36.09,3.3,14.6,6.72,0.66,0.0,,0.8,0.4,69.9,71.0,68.8,20.28,22.3,100.0,91.0,3.4,0.8,No data,,9.6,9.5,2.3,92.0,7.0,1.3,≥80 ,85,87.0,8.0,4.2,0,81.5,84.1,79.0,,70.0,,1.6,6.7,,
