LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guatemala,GTM,3.7,16.89,44.6,68.7,10.0,2.68,4.9,94.0,61.626105570297824,2205.055552957938,3893.50533299068,4060.13784737643,4324.99768915601,4352.94593289707,4511.99839552697,4477.61785000665,4912.62240414681,5358.70156997677,5758.32760847852,6150.02571438505
Guinea,GIN,4.4,5.02,26.6,61.3,30.3,0.03,4.8,494.0,25.557545261354782,2213.981079032333,747.356966759448,711.996509782316,833.598621691121,933.273615633705,1031.34146480732,1053.66097696415,1244.96550477914,1416.59612011764,1555.49375806861,1694.95375862193
Guinea-Bissau,GNB,3.6,5.16,28.3,58.6,32.7,0.1,7.7,505.0,23.400059298462853,1994.848350887882,645.066837207039,679.665386626818,783.123186602022,808.531613218504,811.216425885129,846.915855715971,926.780921081233,883.199131457831,988.087886357022,1007.74151728028
Guyana,GUY,5.0,10.49,7.1,66.1,15.6,0.68,24.8,75.0,79.17582251409979,2223.718065272998,5640.41560569466,5870.87823759835,6178.6650437298,6048.38697180418,6405.82443444562,6775.70939096303,9860.87014834386,17913.4928066879,20473.7002190617,29675.2443873316
Haiti,HTI,3.9,4.11,21.6,62.5,23.3,0.22,7.8,328.0,45.33795467682018,2333.2097429697587,1411.12684746796,1318.40268167953,1395.23945184461,1496.38048970156,1352.17204191532,1290.32538667383,1841.33189337222,1760.62635668777,1705.75808460999,2142.62330526788
Honduras,HND,4.2,14.16,17.9,69.0,8.8,7.1,3.0,47.0,53.35560180166024,2011.613043783194,2271.20265980349,2307.34468351082,2413.0076562942,2464.64241531918,2502.32744328073,2307.61494319511,2735.14751503977,3003.28996826399,3227.45762509776,3426.43483328923
Hungary,HUN,,9.91,,74.4,2.1,7.43,16.5,12.0,54.79830849243769,1780.6541212469251,12782.9412577973,13215.8605277789,14736.1668157258,16605.0570511887,17012.8598553199,16386.9308821258,19030.628130329,18428.028825614,22230.6277875187,23292.3263882478
Iceland,ISL,,16.54,,82.6,1.3,7.84,11.9,3.0,109.36038260084062,2617.574069260348,53505.6964079339,62854.0906407932,72976.3729990975,75633.8651351915,69296.3144361601,60127.9393575616,70425.4064277273,76350.4550416502,82138.7892973557,86040.5309851288
India,IND,3.7,4.46,32.9,67.3,17.3,1.59,12.6,80.0,41.33189934221704,1889.754600199494,1583.99815907985,1707.50892912243,1950.10468280866,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482,2347.44829434623,2530.12031278204,2694.73780859961
Indonesia,IDN,2.6,8.03,22.6,68.3,10.5,1.03,1.2,140.0,35.385121531086966,1363.7846140915997,3288.22269725538,3521.46943457574,3798.88326174526,3860.95353090726,4106.94856160358,3853.70288774146,4287.17313995098,4730.83484836107,4876.30774512252,4925.43048751861
Iran,IRN,2.7,19.03,4.8,74.7,7.4,5.26,4.1,16.0,62.81038261836154,2821.594813778524,4952.73355532178,5710.59947089104,6000.93346404409,4783.01067340237,3997.4935449585,3202.50003502169,4605.14881318992,4721.20437099984,5049.29931642754,5190.16959024821
Iraq,IRQ,4.6,5.84,9.4,71.5,12.9,5.02,3.0,66.0,53.763320195764464,2225.1136823041693,4440.14189252367,4334.42096404188,4759.2846435467,5646.68932074742,5671.8568632942,4295.18945121228,4868.49431080783,6520.73154560584,5965.31835077761,6073.61032342708
Ireland,IRL,11.2,22.33,2.2,81.6,2.5,4.75,8.5,4.0,131.60138943283812,2724.201003400002,64250.1385181257,64129.5571542383,72161.4047531385,80804.1123164826,81827.6688873996,86514.0706108754,103783.446284479,105190.685952731,106818.917130804,112894.953240805
Israel,ISR,,13.01,,81.7,1.7,8.97,4.4,2.0,97.46822599729698,2406.871525846425,36213.1041481958,37671.5389138798,41138.470964272,42362.6652754196,44250.6313628073,44575.5719045492,52270.9040241956,54949.621556429,52003.7200729997,54176.6844383302
Italy,ITA,,11.85,,82.2,1.6,8.82,7.0,6.0,101.30128937847311,2111.011136467887,30639.8829751432,31391.5692898108,32844.115660604,34904.1081923834,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39277.0838783918,40385.3413957669
Jamaica,JAM,5.1,18.96,6.9,70.1,14.5,0.93,1.7,130.0,67.53181898564901,2239.650842272337,5339.30718256806,5302.29553353854,5605.43541173019,5976.90362644337,6030.68896415921,5299.04530804283,5625.67806271236,6626.47502388538,7542.40084275345,7753.8006955432
Japan,JPN,2.0,23.42,5.2,84.5,0.8,8.16,17.4,3.0,84.02760073959429,2050.637728893783,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,40028.7341726762,40094.5599795288,34065.6438962526,33836.1756271617,32487.0778047567
Jordan,JOR,10.6,7.64,7.7,75.6,7.6,7.94,0.6,31.0,47.67098885644576,2209.5417607979684,4042.75678097555,3986.71677010853,4065.61628749384,4145.43989673265,4170.1144003465,4022.0401356135,4183.49998326866,4332.25159897931,4466.08314208575,4618.09592498567
Kazakhstan,KAZ,8.7,10.6,4.4,70.3,4.3,2.13,14.6,10.0,50.88203447505999,1560.5376724677783,10196.1226255982,7475.56688689424,8943.08416791984,9472.48527327758,9457.12614657136,8781.50797787648,9983.60103576902,11255.3396437881,12879.4275257974,14154.6324958076
Kenya,KEN,4.3,8.65,17.9,66.8,21.5,0.25,4.6,379.0,29.06457106232741,1799.8239646202396,1489.11959777284,1554.12610314423,1667.48447230835,1836.45275528993,1960.40808854893,1927.66459027849,2061.35622089594,2109.56288513137,1942.58802756191,2132.43452097647
Kiribati,KIR,2.1,9.71,14.7,60.9,22.4,0.68,17.5,80.0,23.174480824617515,1821.2128321026485,1639.85274740652,1742.66799324117,1853.05122713319,1912.73809378187,1750.9977188915,1751.78249168214,2222.04819501897,2069.7671726925,2177.70125812262,2288.63471423684
Kuwait,KWT,10.1,9.4,4.5,79.0,4.8,8.1,2.3,8.0,81.03096521290782,2103.7942391242614,29882.2126495698,27323.6890735517,29047.6536135703,32067.9623756889,31707.8737443551,25236.0755848941,34018.6342592913,39981.7691035833,34075.849012909,32717.7186631255
Kyrgyzstan,KGZ,9.9,7.55,11.0,72.2,10.8,1.56,6.8,42.0,30.47830100061467,1648.523251444385,1105.65193844261,1103.27489428412,1221.39046807082,1283.5203037417,1421.99927504102,1229.51766602907,1349.99730650542,1739.72018344174,2138.22210211478,2420.18542283831
Lao People's Democratic Republic,LAO,3.7,4.25,29.9,68.2,20.0,0.76,4.6,112.0,29.452397791148503,1357.610999645333,2121.01339097363,2303.22156035363,2432.43059478511,2545.1075420815,2589.32081035237,2583.77730696131,2526.05105018529,2046.40440255621,2066.94979776957,2123.97909415109
Latvia,LVA,6.6,12.06,1.7,73.2,1.5,7.08,15.2,19.0,51.74951898432212,1762.120571337508,13321.9753140616,13838.5266823272,15132.4958333982,17252.1710428626,17294.9751600969,17564.2321549354,20261.8887788916,20221.103686109,22710.2637544197,23409.0845154775
Lebanon,LBN,4.5,15.5,10.1,74.3,11.1,12.5,0.7,15.0,53.52419843845164,2587.170064863409,7714.1099998804,8089.012088155,8608.21084982387,9174.53666204759,8905.88005497437,5561.19166950397,4045.37391066234,3654.35845534878,3477.72489842684,
Lesotho,LSO,7.5,13.12,35.0,51.5,28.7,0.37,28.7,478.0,25.984038538530765,1841.7983319065584,1121.19851342518,992.491840678465,1069.36673247542,1170.65569702819,1082.05706777516,918.582574704447,1066.58645143823,1030.12582947757,916.282976983803,971.90771824829
Liberia,LBR,6.1,4.79,26.9,63.5,29.6,0.02,6.0,628.0,20.3896739356249,2145.114359551419,692.590082351257,714.613063145659,699.269095727404,692.203127129794,658.164180770507,616.787867006715,667.96610514319,744.617175237387,799.194470229642,851.497723870206
